Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903660_2010-08-09_10-18-01.xad
Data File Path,S:\Genomics\Microarray\BioAnalyzerData\2100_Data_from_old_PC_03302011\data\ARP\2010-08-09
Date Created,"Monday, August 09, 2010 3:18:01 PM"
Date Last Modified,"Monday, August 09, 2010 3:41:59 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,+GFP dJARID2 M 7-30
Number of Events,1060
 
Time,Value
17,-5.889926E-02
17.05,-5.639172E-02
17.1,-3.661882E-02
17.15,-2.198775E-02
17.2,-1.384369E-02
17.25,-1.991373E-02
17.3,-1.739871E-02
17.35,7.119586E-04
17.4,0.0168699
17.45,1.500172E-02
17.5,-3.785328E-03
17.55,-1.837905E-02
17.6,-2.191194E-02
17.65,-1.890294E-02
17.7,-1.781564E-02
17.75,-2.830367E-02
17.8,-3.671053E-02
17.85,-2.200055E-02
17.9,-3.463642E-03
17.95,1.943151E-02
18,2.238696E-02
18.05,1.674426E-02
18.1,2.206827E-03
18.15,-8.226058E-03
18.2,-6.360793E-03
18.25,8.492606E-03
18.3,1.853461E-02
18.35,3.362738E-02
18.4,0.030146
18.45,3.148678E-02
18.5,-1.061054E-04
18.55,-1.722037E-02
18.6,-2.201761E-02
18.65,-0.0182365
18.7,-2.776015E-02
18.75,-2.365554E-02
18.8,-1.430643E-02
18.85,1.978746E-03
18.9,-4.785255E-03
18.95,5.821535E-03
19,-9.02651E-03
19.05,-2.532901E-02
19.1,-2.636123E-02
19.15,-2.504672E-02
19.2,-1.824736E-02
19.25,-1.959266E-02
19.3,-2.540357E-02
19.35,-2.192114E-02
19.4,-1.121515E-02
19.45,5.76162E-03
19.5,6.542975E-03
19.55,5.393346E-03
19.6,-7.146293E-03
19.65,-2.480973E-02
19.7,-2.991919E-02
19.75,-0.0243969
19.8,-0.0267462
19.85,-3.648664E-02
19.9,-4.679815E-02
19.95,-5.343637E-02
20,-6.379329E-02
20.05,-5.435437E-02
20.1,-1.896302E-02
20.15,-2.733351E-03
20.2,-0.0151917
20.25,-2.099035E-02
20.3,-3.265401E-02
20.35,-0.0248026
20.4,-2.411479E-02
20.45,-4.008345E-03
20.5,1.283999E-02
20.55,-1.594992E-03
20.6,-1.569907E-02
20.65,-2.123325E-02
20.7,-1.703107E-02
20.75,-1.500672E-02
20.8,-1.052258E-02
20.85,8.813583E-03
20.9,1.768194E-03
20.95,6.756781E-03
21,9.590633E-03
21.05,1.395463E-02
21.1,2.611325E-02
21.15,0.0210002
21.2,2.043312E-02
21.25,1.422489E-02
21.3,8.840131E-03
21.35,3.433566E-03
21.4,-1.509425E-02
21.45,-1.792597E-02
21.5,-1.225865E-02
21.55,-2.211473E-03
21.6,2.273389E-02
21.65,0.0363629
21.7,4.172121E-02
21.75,5.011148E-02
21.8,5.073887E-02
21.85,4.159549E-02
21.9,2.521416E-02
21.95,9.661947E-03
22,-1.092334E-02
22.05,-1.445652E-02
22.1,-8.229673E-03
22.15,-2.377933E-02
22.2,3.349004E-02
22.25,0.5451039
22.3,2.014055
22.35,4.568993
22.4,7.829957
22.45,10.65104
22.5,11.97907
22.55,11.32474
22.6,9.112241
22.65,6.254869
22.7,3.687072
22.75,1.881974
22.8,0.8572013
22.85,0.3316462
22.9,0.144597
22.95,8.161319E-02
23,5.780378E-02
23.05,3.667131E-02
23.1,3.490021E-02
23.15,2.340499E-02
23.2,1.714261E-02
23.25,1.894139E-02
23.3,1.912393E-02
23.35,1.513874E-02
23.4,2.140383E-02
23.45,2.044754E-02
23.5,0.0133775
23.55,5.041215E-03
23.6,3.565411E-02
23.65,9.040755E-02
23.7,0.1269484
23.75,0.1514804
23.8,0.1546745
23.85,0.1198001
23.9,5.854424E-02
23.95,3.347104E-02
24,5.187909E-02
24.05,7.715932E-02
24.1,8.436234E-02
24.15,8.591492E-02
24.2,0.0826129
24.25,5.734969E-02
24.3,2.850407E-02
24.35,2.145712E-02
24.4,3.443066E-02
24.45,5.103706E-02
24.5,5.573479E-02
24.55,7.244411E-02
24.6,7.718667E-02
24.65,7.573218E-02
24.7,6.505596E-02
24.75,0.0788129
24.8,0.1043606
24.85,9.892999E-02
24.9,9.874678E-02
24.95,8.468508E-02
25,7.477999E-02
25.05,6.461798E-02
25.1,5.585435E-02
25.15,8.187766E-02
25.2,0.1114692
25.25,0.1368216
25.3,0.1697852
25.35,0.2064932
25.4,0.2538317
25.45,0.3105533
25.5,0.4032267
25.55,0.5237795
25.6,0.6421708
25.65,0.7444667
25.7,0.8163188
25.75,0.8562886
25.8,0.8616019
25.85,0.8397155
25.9,0.8213901
25.95,0.8129919
26,0.8183779
26.05,0.8390136
26.1,0.8761885
26.15,0.9045927
26.2,0.9103447
26.25,0.9160486
26.3,0.9021609
26.35,0.9009927
26.4,0.8749
26.45,0.8468276
26.5,0.8584899
26.55,0.9219764
26.6,1.072664
26.65,1.275483
26.7,1.497871
26.75,1.712497
26.8,1.82315
26.85,1.865826
26.9,1.775935
26.95,1.561187
27,1.302766
27.05,1.041779
27.1,0.8188546
27.15,0.6524856
27.2,0.5320015
27.25,0.4477922
27.3,0.3582695
27.35,0.3129199
27.4,0.3060187
27.45,0.3162003
27.5,0.3278877
27.55,0.3137982
27.6,0.2720035
27.65,0.235986
27.7,0.2338694
27.75,0.2522522
27.8,0.2728916
27.85,0.2938415
27.9,0.2870546
27.95,0.2671406
28,0.2342865
28.05,0.2119507
28.1,0.2033686
28.15,0.19079
28.2,0.1879367
28.25,0.2018451
28.3,0.2077059
28.35,0.2145969
28.4,0.2211126
28.45,0.2349033
28.5,0.243662
