Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903660_2010-08-09_10-18-01.xad
Data File Path,S:\Genomics\Microarray\BioAnalyzerData\2100_Data_from_old_PC_03302011\data\ARP\2010-08-09
Date Created,"Monday, August 09, 2010 3:18:01 PM"
Date Last Modified,"Monday, August 09, 2010 3:41:59 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-3.836823E-02
17.05,-1.379562E-02
17.1,1.373262E-02
17.15,2.347275E-02
17.2,1.554633E-02
17.25,2.871138E-02
17.3,2.271317E-02
17.35,9.426586E-03
17.4,-8.341703E-03
17.45,-0.014832
17.5,-3.197098E-02
17.55,-4.074432E-02
17.6,-2.345732E-02
17.65,-0.0313221
17.7,-3.927062E-02
17.75,-3.614883E-02
17.8,-0.0444371
17.85,-4.439522E-02
17.9,-4.547608E-02
17.95,-2.380813E-02
18,2.881622E-03
18.05,-4.188003E-03
18.1,-1.981406E-02
18.15,-0.0361512
18.2,-4.176551E-02
18.25,-3.662872E-02
18.3,-2.867981E-02
18.35,-1.487788E-03
18.4,9.871368E-03
18.45,2.74686E-03
18.5,-2.476285E-03
18.55,6.500244E-04
18.6,-5.697778E-03
18.65,-4.514389E-03
18.7,1.065643E-02
18.75,2.447524E-02
18.8,3.100662E-02
18.85,3.882128E-02
18.9,5.288681E-02
18.95,0.0339678
19,-2.661585E-03
19.05,-2.541771E-02
19.1,-3.796811E-02
19.15,-2.998482E-02
19.2,-2.063456E-02
19.25,-2.123722E-02
19.3,-3.162934E-02
19.35,-5.744768E-02
19.4,-4.176515E-02
19.45,-1.014856E-02
19.5,1.367586E-02
19.55,4.827362E-02
19.6,5.351266E-02
19.65,4.193001E-02
19.7,2.576734E-02
19.75,0.0244812
19.8,3.045822E-02
19.85,3.069541E-02
19.9,3.382722E-02
19.95,5.744028E-02
20,4.465103E-02
20.05,0.0133271
20.1,1.873314E-02
20.15,2.449982E-02
20.2,2.319843E-02
20.25,0.0196125
20.3,1.424454E-02
20.35,1.531866E-02
20.4,-5.630798E-03
20.45,-7.910131E-03
20.5,-7.621467E-04
20.55,2.728806E-03
20.6,1.093244E-02
20.65,4.152985E-03
20.7,-6.56588E-03
20.75,-1.826248E-02
20.8,-1.417908E-02
20.85,9.99961E-05
20.9,1.978317E-02
20.95,3.459178E-02
21,3.128723E-02
21.05,2.493935E-02
21.1,2.465072E-02
21.15,0.0219162
21.2,1.552135E-02
21.25,1.772883E-02
21.3,1.547317E-02
21.35,1.636859E-02
21.4,1.833554E-02
21.45,1.818845E-02
21.5,1.172162E-02
21.55,3.105087E-03
21.6,2.670736E-02
21.65,3.881587E-02
21.7,0.0411585
21.75,0.0446812
21.8,3.769134E-02
21.85,2.702139E-02
21.9,2.621554E-02
21.95,0.038608
22,0.0461739
22.05,3.482773E-02
22.1,0.0155693
22.15,9.849373E-05
22.2,0.240907
22.25,1.318343
22.3,3.538639
22.35,6.709544
22.4,9.885205
22.45,11.93407
22.5,12.07168
22.55,10.27523
22.6,7.410304
22.65,4.587114
22.7,2.424496
22.75,1.124041
22.8,0.4834743
22.85,0.2392858
22.9,0.1716182
22.95,0.133289
23,0.1172985
23.05,0.1232861
23.1,0.108281
23.15,0.1042777
23.2,0.1165289
23.25,0.1186889
23.3,9.832245E-02
23.35,8.008798E-02
23.4,8.537216E-02
23.45,9.694473E-02
23.5,0.1078014
23.55,0.1227422
23.6,0.1319346
23.65,0.1227147
23.7,0.1126857
23.75,0.1248745
23.8,0.1323456
23.85,0.1285765
23.9,0.1234262
23.95,0.1199097
24,0.1270655
24.05,0.1342653
24.1,0.1487348
24.15,0.1615485
24.2,0.1517722
24.25,0.1448589
24.3,0.1382385
24.35,0.1646163
24.4,0.1905088
24.45,0.2000207
24.5,0.2162851
24.55,0.2248521
24.6,0.2265767
24.65,0.2252175
24.7,0.2357149
24.75,0.2434756
24.8,0.2119504
24.85,0.1962461
24.9,0.1894575
24.95,0.1940055
25,0.2242472
25.05,0.2296182
25.1,0.2391477
25.15,0.2291597
25.2,0.2165556
25.25,0.2088561
25.3,0.2074431
25.35,0.222248
25.4,0.245498
25.45,0.2416995
25.5,0.2349142
25.55,0.2267477
25.6,0.2163676
25.65,0.2045354
25.7,0.2060875
25.75,0.2274843
25.8,0.247393
25.85,0.2662471
25.9,0.2809687
25.95,0.278867
26,0.2689562
26.05,0.2580975
26.1,0.2728462
26.15,0.2966388
26.2,0.3154398
26.25,0.3324035
26.3,0.3462787
26.35,0.3648786
26.4,0.3742455
26.45,0.3766896
26.5,0.3749991
26.55,0.3780466
26.6,0.3840985
26.65,0.3965232
26.7,0.4241399
26.75,0.4357564
26.8,0.4277227
26.85,0.429281
26.9,0.4293423
26.95,0.4202777
27,0.3929447
27.05,0.3880287
27.1,0.3998885
27.15,0.4408038
27.2,0.4964377
27.25,0.5874484
27.3,0.6621499
27.35,0.7037807
27.4,0.7258821
27.45,0.7399008
27.5,0.7353561
27.55,0.7536947
27.6,0.7455515
27.65,0.7589523
27.7,0.7646936
27.75,0.7550472
27.8,0.7659137
27.85,0.7792962
27.9,0.8340511
27.95,0.9380178
28,1.083235
28.05,1.267121
28.1,1.5095
28.15,1.822527
28.2,2.350944
28.25,3.143314
28.3,4.241414
28.35,5.61884
28.4,7.283612
28.45,9.525558
28.5,12.92502
28.55,17.65388
28.6,23.04472
28.65,27.59071
28.7,29.59546
28.75,28.18966
28.8,23.86072
28.85,18.1372
28.9,12.66002
28.95,8.427348
29,5.666255
29.05,3.97858
29.1,2.914435
29.15,2.229758
29.2,1.792581
